:START_ID,:END_ID,:TYPE,amount,currency,date,ownership_percent,holding_type,lead_partner,role
healthedge_company_001,healthedge_deal_001,RAISED_CAPITAL,12.70,M,2007-03-05,,equity,,
healthedge_company_001,healthedge_deal_002,RAISED_CAPITAL,13.00,M,2008-04-22,,equity,,
healthedge_company_001,healthedge_deal_003,RAISED_CAPITAL,3.00,M,2008-08-25,,equity,,
healthedge_company_001,healthedge_deal_004,RAISED_CAPITAL,1.55,M,2009-01-27,,equity,,
healthedge_company_001,healthedge_deal_005,RAISED_CAPITAL,3.50,M,2009-07-20,,equity,,
healthedge_company_001,healthedge_deal_006,RAISED_CAPITAL,4.47,M,2010-11-17,,equity,,
healthedge_company_001,healthedge_deal_007,RAISED_CAPITAL,1.50,M,2012-01-05,,equity,,
healthedge_company_001,healthedge_deal_008,RAISED_CAPITAL,10.00,M,2012-11-30,,equity,,
healthedge_company_001,healthedge_deal_011,RAISED_CAPITAL,30.00,M,2014-09-19,,equity,,
healthedge_company_001,healthedge_deal_012,RAISED_CAPITAL,1.78,M,2015-02-27,,equity,,
healthedge_company_001,healthedge_deal_013,RAISED_CAPITAL,35.80,M,2017-07-13,,equity,,
healthedge_deal_001,healthedge_investor_008,CLOSED_WITH,12.70,M,2007-03-05,35.94%,Preferred Stock,Albert Waxman Ph.D,Lead Investor
healthedge_deal_002,healthedge_investor_008,CLOSED_WITH,13.00,M,2008-04-22,19.12%,Preferred Stock,Albert Waxman Ph.D,Follow-on Investor
healthedge_deal_003,healthedge_investor_008,CLOSED_WITH,3.00,M,2008-08-25,4.96%,Preferred Stock,,
healthedge_deal_004,healthedge_investor_008,CLOSED_WITH,1.55,M,2009-01-27,2.50%,Preferred Stock,,
healthedge_deal_005,healthedge_investor_008,CLOSED_WITH,3.50,M,2009-07-20,5.17%,Preferred Stock,,
healthedge_deal_006,healthedge_investor_008,CLOSED_WITH,4.47,M,2010-11-17,6.21%,Preferred Stock,,
healthedge_deal_007,healthedge_investor_008,CLOSED_WITH,1.50,M,2012-01-05,2.04%,Preferred Stock,,
healthedge_deal_008,healthedge_investor_008,CLOSED_WITH,10.00,M,2012-11-30,12.96%,Preferred Stock,Albert Waxman Ph.D,Follow-on Investor
healthedge_deal_011,healthedge_investor_008,CLOSED_WITH,30.00,M,2014-09-19,16.44%,Preferred Stock,,
healthedge_deal_012,healthedge_investor_008,CLOSED_WITH,1.78,M,2015-02-27,,Convertible Bridge,,
healthedge_deal_013,healthedge_investor_009,CLOSED_WITH,35.80,M,2017-07-13,12.50%,Preferred Stock,,Lead Investor
