:START_ID,:END_ID,:TYPE,deal_date,deal_amount,round_number,investor_status,is_lead,notes
startup_001,deal_001,HAD_DEAL,2025-01-01,30000,,,,
startup_001,deal_002,HAD_DEAL,2024-06-01,4610000,,,,
startup_001,deal_003,HAD_DEAL,2023-06-28,0,,,,No equity or funding exchanged
startup_001,deal_004,HAD_DEAL,2023-01-01,0,,,,No equity or funding exchanged
startup_001,deal_005,HAD_DEAL,2023-01-01,,,,,Undisclosed amount
startup_001,deal_006,HAD_DEAL,2022-12-01,,,,,Undisclosed amount
startup_001,deal_007,HAD_DEAL,2020-07-15,2380000,,,,
startup_001,deal_008,HAD_DEAL,2020-01-01,3600000,,,,Undisclosed investors
startup_001,deal_009,HAD_DEAL,2020-01-01,0,,,,
startup_001,deal_010,HAD_DEAL,2019-07-01,400000,,,,Pre-seed
startup_001,deal_011,HAD_DEAL,2019-05-20,20000,,,,
startup_001,deal_012,HAD_DEAL,2019-01-01,,,,,Undisclosed angel amount
startup_001,deal_013,HAD_DEAL,2018-05-23,0,,,,
inv_001,deal_001,INVESTED_IN,2025-01-01,30000,13,New Investor,No,
inv_002,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_003,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_004,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_005,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_006,deal_002,INVESTED_IN,2024-06-01,250000,12,New Investor,No,Fund: Headwater Ventures Fund II
inv_007,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,Lead: David Brown; Fund: Impellent Ventures II
inv_008,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_009,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,Lead: Sebastian Barriga
inv_010,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_011,deal_002,INVESTED_IN,2024-06-01,30000,12,New Investor,No,Fund: Team Ignite Fund I
inv_012,deal_002,INVESTED_IN,2024-06-01,4610000,12,New Investor,No,
inv_016,deal_002,INVESTED_IN,2024-06-01,4610000,12,Follow-On Investor,No,Lead: Ron Levin; Fund: AV Seed Fund 6
inv_022,deal_002,INVESTED_IN,2024-06-01,4610000,12,Follow-On Investor,No,Lead: Andrew Feinberg JD
inv_025,deal_002,INVESTED_IN,2024-06-01,4610000,12,Follow-On Investor,No,
inv_027,deal_002,INVESTED_IN,2024-06-01,4610000,12,Follow-On Investor,No,
inv_040,deal_002,INVESTED_IN,2024-06-01,4610000,12,Follow-On Investor,No,
inv_042,deal_003,INVESTED_IN,2023-06-28,,11,New Investor,No,UCSF Rosenman Innovators program; no equity/funding
inv_013,deal_004,INVESTED_IN,2023-01-01,,10,New Investor,No,Good For Her program; no equity/funding
inv_014,deal_005,INVESTED_IN,2023-01-01,,,New Investor,No,Undisclosed amount
inv_015,deal_006,INVESTED_IN,2022-12-01,,8,New Investor,No,
inv_016,deal_006,INVESTED_IN,2022-12-01,,8,New Investor,No,
inv_017,deal_006,INVESTED_IN,2022-12-01,,8,New Investor,No,
inv_018,deal_006,INVESTED_IN,2022-12-01,,8,New Investor,No,
inv_019,deal_006,INVESTED_IN,2022-12-01,,8,New Investor,No,
inv_020,deal_007,INVESTED_IN,2020-07-15,2380000,7,New Investor,No,
