nodeId:ID,name,type,investor_type,founded,location,total_raised,stage,focus_area,:LABEL
syntis_startup_001,Syntis Bio,Startup,,2022,Boston MA,48370000,Generating Revenue,Drug Discovery / Oral Therapy / Obesity & Rare Disease,Startup
syntis_inv_001,Cerberus Ventures,Investor,Venture Capital,,,,,,Investor
syntis_inv_002,Colorcon,Investor,PE-Backed Company,,,,,,Investor
syntis_inv_003,Cerity Partners Ventures,Investor,Corporate Venture Capital,,,,,,Investor
syntis_inv_004,W.R. Berkley,Investor,Corporation,,,,,,Investor
syntis_inv_005,Mansueto Investments,Investor,Corporation,,,,,,Investor
syntis_inv_006,Apollo Research Labs,Investor,Corporation,,,,,,Investor
syntis_inv_007,Woori Venture Partners,Investor,Venture Capital,,,,,,Investor
syntis_inv_008,Portal Innovations,Investor,Venture Capital,,,,,,Investor
syntis_inv_009,Safar Partners,Investor,Venture Capital,,,,,,Investor
syntis_inv_010,Sky9 Capital,Investor,Venture Capital,,,,,,Investor
syntis_inv_011,BOLD Capital Partners,Investor,Venture Capital,,,,,,Investor
syntis_inv_012,National Institutes of Health,Investor,Government,,,,,,Investor
syntis_legal_001,Mintz,Legal Advisor,,,Boston MA,,,,LegalAdvisor
syntis_legal_002,Gunderson Dettmer,Legal Advisor,,,,,,,LegalAdvisor
syntis_person_001,Rahul Dhanda,Person,,,,,,Co-Founder CEO President & Board Member,Person
syntis_person_002,Robert Langer,Person,,,,,,Co-Founder & Board Member,Person
syntis_person_003,Giovanni Traverso,Person,,,,,,Co-Founder & Board Member,Person
syntis_person_004,Christo Shalish,Person,,,,,,Chief Business Officer,Person
syntis_person_005,David Rosenbaum,Person,,,,,,Chief Development Officer,Person
syntis_person_006,Chenny Zhang,Person,,,,,,Director Cerberus Ventures,Person
syntis_person_007,Michael Nannizzi,Person,,,,,,Director W.R. Berkley,Person
syntis_person_008,Teymour Boutros-Ghali,Person,,,,,,Co-Founder & Managing Partner BOLD Capital,Person
syntis_person_009,Martin Madaus,Person,,,,,,Board Member,Person
syntis_deal_001,Deal #3 Series A Jun 2025,Deal,,,,$33000000,Generating Revenue,Early Stage VC Series A,Deal
syntis_deal_002,Deal #2 NIH Grant Jul 2025,Deal,,,,$5000000,Generating Revenue,Grant,Deal
syntis_deal_003,Deal #1 Early Stage VC Aug 2022,Deal,,,,$15370000,Generating Revenue,Early Stage VC Seed,Deal
syntis_patent_001,Engineered leucine decarboxylases (US-12502421-B2),Patent,,,,,,Active,Patent
syntis_patent_002,Engineered leucine decarboxylases (US-20240018504-A1),Patent,,,,,,Pending,Patent
syntis_patent_003,Engineered leucine decarboxylases (EP-4426827-A2),Patent,,,,,,Pending,Patent
syntis_patent_004,Engineered leucine decarboxylases (EP-4426827-A4),Patent,,,,,,Pending,Patent
syntis_patent_005,Synergistic permeation enhancers for gastrointestinal synthetic epithelial linings (WO-2025072841-A1),Patent,,,,,,Pending,Patent
syntis_trial_001,SYNT-101 Phase 1 Safety Tolerability and Pharmacodynamics Study,ClinicalTrial,,,,,,Phase 1 Recruiting,ClinicalTrial
