:START_ID,:END_ID,:TYPE,deal_date,deal_amount,round_number,investor_status,is_lead,notes
syntis_startup_001,syntis_deal_001,HAD_DEAL,2025-06-24,33000000,,,,Series A-1 and A-2 combined
syntis_startup_001,syntis_deal_002,HAD_DEAL,2025-07-01,5000000,,,,NIH Grant funding
syntis_startup_001,syntis_deal_003,HAD_DEAL,2022-08-17,15370000,,,,Seed round
syntis_inv_001,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,Yes,Lead investor; Lead Partner: Chenny Zhang
syntis_inv_002,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,Follow-On Investor,No,
syntis_inv_003,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,Follow-On Investor,No,
syntis_inv_004,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,No,Lead Partner: Michael Nannizzi
syntis_inv_005,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,No,
syntis_inv_006,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,No,
syntis_inv_007,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,No,
syntis_inv_008,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,Follow-On Investor,No,
syntis_inv_009,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,Follow-On Investor,No,Fund: Safar Partners Fund II
syntis_inv_010,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,New Investor,No,
syntis_inv_011,syntis_deal_001,INVESTED_IN,2025-06-24,33000000,3,Follow-On Investor,No,Lead Partner: Teymour Boutros-Ghali PhD
syntis_inv_012,syntis_deal_002,INVESTED_IN,2025-07-01,5000000,2,New Investor,No,Grant funding
syntis_inv_002,syntis_deal_003,INVESTED_IN,2022-08-17,15370000,1,New Investor,No,
syntis_inv_003,syntis_deal_003,INVESTED_IN,2022-08-17,15370000,1,New Investor,No,
syntis_inv_008,syntis_deal_003,INVESTED_IN,2022-08-17,15370000,1,New Investor,No,
syntis_inv_009,syntis_deal_003,INVESTED_IN,2022-08-17,15370000,1,New Investor,No,Fund: Safar Partners Fund II
syntis_inv_011,syntis_deal_003,INVESTED_IN,2022-08-17,15370000,1,New Investor,No,Lead Partner: Teymour Boutros-Ghali PhD; Fund: Bold Capital Partners III
syntis_legal_001,syntis_deal_001,ADVISED_ON,2025-06-24,,,,,Advised Syntis Bio; Lead: Joshua Fox
syntis_legal_002,syntis_deal_001,ADVISED_ON,2025-06-24,,,,,Advised BOLD Capital Partners
syntis_legal_002,syntis_deal_003,ADVISED_ON,2022-08-17,,,,,Advised BOLD Capital Partners and Safar Partners
syntis_person_001,syntis_startup_001,LEADS,,,,,,,Co-Founder CEO President & Board Member
syntis_person_002,syntis_startup_001,LEADS,,,,,,,Co-Founder & Board Member
syntis_person_003,syntis_startup_001,LEADS,,,,,,,Co-Founder Chair Clinical Advisory Board & Board Member
syntis_person_004,syntis_startup_001,LEADS,,,,,,,Chief Business Officer
syntis_person_005,syntis_startup_001,LEADS,,,,,,,Chief Development Officer
syntis_person_006,syntis_inv_001,REPRESENTS,,,,,,Director; Board Member since Jul 2025
syntis_person_007,syntis_inv_004,REPRESENTS,,,,,,Director of Investments; Board Member since Jul 2025
syntis_person_008,syntis_inv_011,REPRESENTS,,,,,,Co-Founder & Managing Partner; Board Member since Aug 2022
syntis_inv_001,syntis_startup_001,HAS_BOARD_SEAT,2025-07-01,,,,,Chenny Zhang on board since Jul 2025
syntis_inv_004,syntis_startup_001,HAS_BOARD_SEAT,2025-07-01,,,,,Michael Nannizzi on board since Jul 2025
syntis_inv_011,syntis_startup_001,HAS_BOARD_SEAT,2022-08-01,,,,,Teymour Boutros-Ghali on board since Aug 2022
syntis_startup_001,syntis_patent_001,HOLDS_PATENT,,,,,,Active patent; first filed Nov 2021; 166 forward citations
syntis_startup_001,syntis_patent_002,HOLDS_PATENT,,,,,,Pending patent; first filed Feb 2020
syntis_startup_001,syntis_patent_003,HOLDS_PATENT,,,,,,Pending patent; first filed Nov 2021
syntis_startup_001,syntis_patent_004,HOLDS_PATENT,,,,,,Pending patent; first filed Nov 2021
syntis_startup_001,syntis_patent_005,HOLDS_PATENT,,,,,,Pending patent; first filed Sep 2023; 6 citations
syntis_startup_001,syntis_trial_001,RUNNING_TRIAL,,,,,,Phase 1 trial of SYNT-101; recruiting as of Jan 2026
